127.0.0.1 - - [21/Dec/2017:13:04:54 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/css/bootstrap.min.css HTTP/1.1" 200 127368
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/index.jsp HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/js/jquery.min.js HTTP/1.1" 200 86341
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/css/style.css HTTP/1.1" 200 5660
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/js/popper.min.js HTTP/1.1" 200 19239
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/js/bootstrap.min.js HTTP/1.1" 200 50564
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/js/main.js HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/images/banner-01.jpg HTTP/1.1" 200 227682
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/images/banner-02.jpg HTTP/1.1" 200 191066
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/images/banner-03.jpg HTTP/1.1" 200 324828
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/images/banner-04.jpg HTTP/1.1" 200 251391
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:04:55 +0800] "GET /SE/images/content-01.jpg HTTP/1.1" 200 22926
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/index.jsp HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/js/jquery.min.js HTTP/1.1" 200 86341
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/css/style.css HTTP/1.1" 200 5660
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/css/bootstrap.min.css HTTP/1.1" 200 127368
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/js/bootstrap.min.js HTTP/1.1" 200 50564
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/js/main.js HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/js/popper.min.js HTTP/1.1" 200 19239
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/images/banner-01.jpg HTTP/1.1" 200 227682
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/images/banner-02.jpg HTTP/1.1" 200 191066
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/images/banner-03.jpg HTTP/1.1" 200 324828
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/images/banner-04.jpg HTTP/1.1" 200 251391
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /SE/images/content-01.jpg HTTP/1.1" 200 22926
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:02 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:09 +0800] "GET /SE/shoppingMall.jsp HTTP/1.1" 200 8785
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:16 +0800] "GET /SE/search.jsp?keyword=0&mallCategory=auction&productCategory= HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:20 +0800] "GET /SE/signin.jsp HTTP/1.1" 200 7764
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:22 +0800] "GET /SE/register.jsp HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:24 +0800] "GET /SE/signin.jsp HTTP/1.1" 200 7764
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:30 +0800] "GET /SE/signin.jsp HTTP/1.1" 200 7764
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:05:34 +0800] "GET /SE/register.jsp HTTP/1.1" 200 9389
